player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,team,team_goals,conceded_goals,win,tie,match,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,rating
Simon Mignolet,22.0,be BEL,GK,29-159,90,0,0,0,0,0,0,0.0,0.0,0,0,Liverpool,3,3,False,True,Watford - Liverpool,638,473,5,5,19,20,4,17,0.0,0.0,0,0,0,0,0,42,32,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,44,0,0,0,0,0,22,155,97,0,0,0,0,0,20,0,1,0,0,0,1,0,0,0,0,1,1,0,4.0,3.0,1.0,2.7,2.0,15.0,35.0,8.0,31.2,7.0,42.4,13.0,3.0,0.0,12.2,5.965
Christian Benteke,17.0,be BEL,FW,26-252,90,0,0,0,0,3,1,0.2,0.2,1,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,181,62,2,5,5,9,1,1,0.0,0.0,0,2,0,0,3,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,16,10,6,0,0,12,89,6,0,0,0,4,2,26,3,0,0,0,1,1,0,0,0,0,1,9,6,,,,,,,,,,,,,,,,5.66
Wilfried Zaha,11.0,ci CIV,AM,24-275,90,0,0,0,0,3,2,0.4,0.4,4,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,136,25,5,7,4,7,0,2,0.0,0.0,1,0,1,0,1,21,20,1,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,12,25,6,6,4,31,252,125,5,4,3,4,7,34,12,0,0,0,1,4,0,0,0,0,4,1,0,,,,,,,,,,,,,,,,6.23
Ruben Loftus-Cheek,8.0,eng ENG,CM,21-201,90,0,0,0,0,1,0,0.0,0.0,6,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,673,300,9,10,15,16,6,7,0.0,0.0,1,4,1,0,5,36,35,1,0,0,0,1,0,0,3,2,1,1,0,1,0,1,3,1,0,1,9,36,9,1,8,5,29,292,151,4,4,0,1,3,35,5,0,0,0,0,6,0,0,0,0,6,1,1,,,,,,,,,,,,,,,,6.755
Jason Puncheon,42.0,eng ENG,CM,31-055,90,0,0,0,0,2,0,0.1,0.1,1,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,779,216,15,16,20,22,5,10,0.0,0.0,0,4,2,0,8,48,39,9,3,0,1,5,0,3,3,1,0,1,1,1,0,1,2,1,0,0,7,37,13,0,0,0,28,191,110,1,2,0,0,3,34,0,1,0,0,1,1,0,0,0,0,4,0,1,,,,,,,,,,,,,,,,4.995
Luka Milivojević,4.0,rs SRB,CM,26-127,45,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,439,117,6,8,12,15,3,3,0.0,0.0,0,3,0,0,5,29,25,4,3,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,3,24,4,0,1,1,14,50,24,0,1,0,0,1,15,0,0,0,0,0,2,0,0,0,0,6,1,1,,,,,,,,,,,,,,,,
Andros Townsend,10.0,eng ENG,AM,26-027,45,0,0,0,0,0,0,0.0,0.0,3,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,114,27,6,8,1,2,1,4,0.1,0.1,1,1,0,0,0,18,15,3,1,0,0,4,0,2,2,2,0,1,1,0,0,0,0,0,0,0,2,7,15,1,2,2,10,62,25,1,2,0,1,2,14,5,0,0,0,0,1,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,6.34
Patrick van Aanholt,3.0,nl NED,WB,26-348,90,0,0,0,0,3,1,0.1,0.1,5,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,705,345,22,24,12,20,6,10,0.3,0.2,4,3,1,0,3,58,38,20,4,0,0,10,9,7,2,2,0,1,1,3,0,3,2,2,0,2,11,36,23,3,2,2,15,106,41,2,0,1,0,2,28,2,0,0,0,4,2,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,5.665
Joel Ward,2.0,eng ENG,WB,27-287,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,446,246,15,17,6,8,4,10,0.0,0.0,0,1,1,1,2,38,29,9,1,0,0,5,8,0,6,6,3,4,1,0,0,0,3,2,0,4,24,21,9,0,0,0,15,38,14,0,0,0,2,2,23,5,0,0,0,0,2,0,0,0,1,7,1,0,,,,,,,,,,,,,,,,5.835
Jaïro Riedewald,44.0,nl NED,CB,20-337,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,964,485,10,11,21,25,10,13,0.0,0.0,0,7,1,0,4,50,48,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0,1,7,0,2,27,35,0,0,1,1,25,93,48,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,
Scott Dann,6.0,eng ENG,CB,30-179,90,0,0,0,0,1,0,0.1,0.1,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,778,269,11,11,21,23,5,7,0.0,0.0,0,0,0,0,1,44,44,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,3,2,0,4,31,19,2,1,3,3,23,97,49,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,9,0,3,,,,,,,,,,,,,,,,5.775
Timothy Fosu-Mensah,24.0,nl NED,CB,19-222,77,0,0,0,0,0,0,0.0,0.0,1,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,510,167,14,16,12,15,2,6,0.0,0.0,0,3,0,0,1,38,35,3,3,0,0,0,0,0,4,3,1,1,0,1,0,1,2,4,0,3,21,26,1,0,0,0,15,56,38,1,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,4,3,3,,,,,,,,,,,,,,,,6.365
James Tomkins,5.0,eng ENG,CB,28-136,13,0,0,0,0,1,0,0.1,0.1,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,132,53,7,7,3,3,0,1,0.0,0.0,0,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,2,1,0,0,6,41,29,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,5.984999999999999
Wayne Hennessey,13.0,wls WAL,GK,30-200,90,0,0,0,0,0,0,0.0,0.0,0,0,Crystal Palace,0,3,False,False,Crystal Palace - Huddersfield,656,535,5,5,9,9,9,20,0.0,0.0,0,1,0,0,0,34,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,15,121,91,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,6.0,3.0,4.0,1.6,5.0,14.0,31.0,7.0,36.4,3.0,64.3,11.0,1.0,1.0,17.0,5.51
Steve Mounié,24.0,bj BEN,FW,22-317,85,2,0,0,0,3,2,0.4,0.4,1,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,160,21,8,11,3,12,0,1,0.0,0.0,0,0,0,0,1,27,26,1,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,5,0,5,6,19,19,3,2,1,20,104,36,2,1,1,3,4,27,3,1,0,0,1,0,2,0,0,0,3,7,2,,,,,,,,,,,,,,,,
Rajiv van La Parra,17.0,nl NED,LW,26-069,5,0,0,0,0,0,0,0.0,0.0,0,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,12,4,2,3,0,0,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,1,0,5,14,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5.95
Tom Ince,22.0,eng ENG,LW,25-194,90,0,0,0,0,1,1,0.1,0.1,1,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,154,15,3,7,4,5,1,5,0.0,0.0,0,0,0,0,0,18,17,1,0,0,0,1,1,0,4,2,1,3,2,3,0,3,0,1,0,1,8,11,11,3,4,1,14,111,40,2,1,3,0,2,14,3,0,0,0,2,1,0,0,0,0,7,0,3,,,,,,,,,,,,,,,,6.525
Elias Kachunga,9.0,cd COD,RW,25-112,90,0,0,0,0,0,0,0.0,0.0,0,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,125,28,6,6,1,1,1,1,0.0,0.0,0,1,0,0,0,10,10,0,0,0,0,0,0,0,6,5,0,0,0,1,1,0,0,1,0,1,5,10,9,2,1,0,14,88,28,1,0,0,2,3,16,3,0,0,0,2,3,0,0,0,0,4,0,2,,,,,,,,,,,,,,,,7.13
Kasey Palmer,45.0,jm JAM,AM,20-276,71,0,0,0,0,1,1,0.0,0.0,1,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,131,60,8,11,3,3,0,1,0.0,0.2,0,1,1,0,2,15,13,2,0,1,0,1,0,2,1,0,0,2,2,0,0,0,0,1,0,1,1,9,9,0,1,1,11,98,24,1,1,0,0,4,14,0,1,0,0,2,0,0,0,0,0,3,1,1,,,,,,,,,,,,,,,,6.835
Collin Quaner,23.0,de GER,AM,26-055,19,0,1,0,0,0,0,0.0,0.0,1,1,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,72,13,2,3,2,2,0,1,0.1,0.1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,2,3,1,1,1,3,40,33,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.9350000000000005
Philip Billing,8.0,dk DEN,DM,21-062,90,0,0,0,0,1,1,0.0,0.0,0,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,699,154,16,18,15,22,5,9,0.0,0.0,0,3,1,0,4,51,51,0,0,0,1,0,0,0,2,2,0,5,5,0,0,0,1,6,0,7,19,31,11,0,0,0,17,57,29,0,1,0,0,0,27,1,0,0,0,0,0,0,0,0,0,9,1,0,,,,,,,,,,,,,,,,7.65
Aaron Mooy,10.0,au AUS,DM,26-331,90,0,1,0,0,0,0,0.0,0.0,4,1,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,717,285,19,24,16,19,5,12,0.4,0.3,3,3,1,1,5,61,53,7,0,0,0,7,0,7,4,1,0,0,0,1,0,1,3,2,0,3,16,26,30,0,0,0,26,163,51,2,1,0,1,2,42,2,0,0,0,0,0,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,8.115
Chris Löwe,15.0,de GER,LB,28-118,90,0,0,0,0,1,1,0.0,0.0,3,1,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,489,218,13,14,12,15,2,8,0.0,0.0,0,1,0,0,3,43,27,15,0,0,0,2,15,0,5,3,2,5,3,1,0,1,0,3,0,2,20,19,15,0,0,0,17,115,46,0,2,0,1,2,24,3,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,
Christopher Schindler,26.0,de GER,CB,27-105,90,0,0,0,0,0,0,0.0,0.0,1,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,329,183,2,2,7,7,3,5,0.8,0.3,1,2,0,0,0,14,14,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,1,3,0,4,16,3,1,1,0,0,6,11,0,0,0,0,0,0,10,0,0,0,0,3,1,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,7.695
Mathias Jørgensen,25.0,dk DEN,CB,27-111,90,0,0,0,0,2,0,0.9,0.9,0,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,332,182,8,11,8,15,2,7,0.0,0.0,0,2,0,0,2,33,33,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,3,6,0,6,27,15,2,2,0,0,7,27,14,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,2,3,3,,,,,,,,,,,,,,,,
Tommy Smith,2.0,eng ENG,RB,25-120,56,0,0,0,0,0,0,0.0,0.0,1,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,279,151,4,8,7,12,2,5,0.0,0.0,1,0,1,0,1,28,13,15,3,0,0,3,12,0,2,2,0,0,0,1,0,1,1,3,0,2,13,14,8,1,1,1,4,32,21,1,1,0,0,0,9,0,1,0,0,4,1,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,7.609999999999999
Danny Williams,19.0,us USA,RB,28-157,34,0,0,0,0,0,0,0.0,0.0,0,0,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,151,43,2,3,5,7,1,1,0.0,0.0,0,0,0,0,0,13,9,4,2,0,0,0,2,0,1,1,1,1,0,2,1,1,0,0,0,1,4,6,5,0,0,0,5,34,12,1,0,0,0,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.37
Jonas Lössl,1.0,dk DEN,GK,28-192,90,0,0,0,0,0,0,0.0,0.0,1,1,Huddersfield,3,0,True,False,Crystal Palace - Huddersfield,931,808,0,0,4,5,15,29,0.0,0.0,0,2,0,0,0,34,22,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35,0,0,0,0,0,18,166,118,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,4.0,0.0,4.0,0.2,12.0,26.0,24.0,4.0,52.3,10.0,72.2,23.0,2.0,1.0,15.6,
Jay Rodriguez,19.0,eng ENG,FW,28-014,87,0,0,0,0,5,3,0.5,0.5,4,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,133,14,9,12,2,7,0,0,0.1,0.0,2,0,1,0,1,21,21,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,7,23,6,2,0,26,67,20,1,1,1,0,2,29,8,1,0,0,4,0,1,0,0,0,2,0,7,,,,,,,,,,,,,,,,7.26
Salomón Rondón,9.0,ve VEN,FW,27-330,3,0,0,0,0,1,1,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,25,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,26,26,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
James McClean,14.0,ie IRL,LM,28-112,90,0,0,0,0,2,0,0.1,0.1,2,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,262,68,4,5,5,5,2,4,0.0,0.1,2,1,2,1,1,18,16,1,0,0,0,3,1,0,7,6,1,1,0,1,1,0,0,2,0,3,8,10,12,1,1,0,16,75,41,2,3,1,0,2,13,5,0,0,0,2,0,1,0,0,0,4,0,2,,,,,,,,,,,,,,,,6.725
Sam Field,28.0,eng ENG,CM,19-096,69,0,0,0,0,0,0,0.0,0.0,2,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,179,73,6,7,4,4,1,2,0.0,0.0,0,3,0,0,4,13,13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,4,10,3,0,0,0,4,20,7,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.145
Rekeem Harper,34.0,eng ENG,CM,17-157,21,0,0,0,0,0,0,0.0,0.0,2,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,82,30,1,1,2,3,1,1,0.1,0.0,2,0,0,0,1,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,1,0,4,18,6,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,6.154999999999999
Jake Livermore,8.0,eng ENG,CM,27-271,90,0,0,0,0,0,0,0.0,0.0,4,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,414,173,9,10,6,10,5,9,0.4,0.5,3,4,0,0,5,33,32,1,0,2,1,0,0,0,3,2,0,0,0,1,0,1,0,1,0,2,10,19,12,3,1,0,23,115,66,1,1,0,0,0,22,1,0,0,0,0,1,0,0,0,0,9,3,1,,,,,,,,,,,,,,,,7.41
Matt Phillips,10.0,sct SCO,RM,26-152,71,0,0,0,0,2,0,0.1,0.1,5,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,305,148,7,9,5,9,3,4,0.1,0.3,2,0,1,0,3,24,21,3,0,0,2,5,1,2,0,0,0,0,0,1,0,1,1,3,0,2,6,10,21,3,4,1,16,243,119,5,5,0,0,0,19,3,0,0,0,0,0,0,0,0,0,3,1,0,,,,,,,,,,,,,,,,7.04
Hal Robson-Kanu,4.0,wls WAL,FW,28-083,19,0,0,0,0,1,0,0.1,0.1,0,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,22,0,0,0,1,2,0,1,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,5,57,14,1,3,0,0,1,6,1,1,0,0,2,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,5.890000000000001
Claudio Yacob,5.0,ar ARG,DM,30-025,90,0,0,0,0,2,0,0.3,0.3,1,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,312,117,7,7,7,7,2,2,0.0,0.0,0,0,0,0,1,16,16,0,0,0,0,0,0,0,2,1,1,3,2,0,0,0,2,4,0,3,10,14,2,2,0,0,7,16,10,0,0,0,1,0,9,0,1,0,0,2,0,0,0,0,0,4,1,1,,,,,,,,,,,,,,,,6.465
Chris Brunt,11.0,nir NIR,LB,32-241,90,0,1,0,0,0,0,0.0,0.0,4,1,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,535,255,4,6,8,17,7,23,0.4,0.4,3,2,1,0,2,49,25,24,2,0,0,6,16,6,3,3,1,1,0,0,0,0,0,2,0,6,17,27,13,0,0,0,16,51,18,0,0,0,0,1,16,1,0,0,0,1,0,0,0,0,0,6,1,0,,,,,,,,,,,,,,,,7.365
Ahmed Hegazi,26.0,eg EGY,CB,26-199,90,1,0,0,0,3,2,0.2,0.2,2,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,330,129,8,8,8,13,1,3,0.2,0.4,1,1,0,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,10,0,11,22,17,4,3,0,0,14,47,7,0,0,0,0,0,17,1,0,0,0,1,0,0,0,0,0,4,4,2,,,,,,,,,,,,,,,,8.925
Craig Dawson,25.0,eng ENG,CB,27-098,90,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,349,207,7,7,2,4,5,9,0.0,0.0,0,2,0,0,0,21,19,1,1,0,1,0,0,0,0,0,0,0,0,2,2,0,7,4,0,12,21,14,0,0,0,0,13,62,37,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,4,2,1,,,,,,,,,,,,,,,,7.970000000000001
Allan Nyom,2.0,cm CMR,RB,29-094,90,0,0,0,0,0,0,0.0,0.0,2,1,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,507,306,13,13,9,15,4,9,0.0,0.0,0,3,0,0,2,39,27,12,0,0,0,1,12,0,2,2,1,1,0,1,1,0,1,2,0,2,14,23,10,0,1,0,19,76,27,0,1,0,1,0,21,0,0,0,0,0,1,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,
Ben Foster,1.0,eng ENG,GK,34-131,90,0,0,0,0,0,0,0.0,0.0,0,0,West Bromwich Albion,1,0,True,False,West Bromwich Albion - Bournemouth,406,369,0,0,1,1,6,20,0.0,0.0,0,1,0,0,0,21,13,8,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,21,22,0,0,0,0,0,10,74,53,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0,0.0,2.0,0.3,5.0,18.0,13.0,1.0,52.1,8.0,69.9,20.0,1.0,0.0,10.2,7.029999999999999
Benik Afobe,9.0,cd COD,FW,24-181,63,0,0,0,0,0,0,0.0,0.0,2,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,115,0,3,4,4,4,0,0,0.1,0.0,1,0,0,0,0,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,8,3,0,0,9,56,17,1,0,1,1,1,10,2,0,0,0,0,2,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,6.105
Jermain Defoe,18.0,eng ENG,FW,34-309,27,0,0,0,0,0,0,0.0,0.0,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,38,4,2,2,1,1,0,0,0.1,0.1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,0,4,17,6,0,0,0,0,1,5,2,0,0,0,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,6.055
Joshua King,17.0,no NOR,FW,25-209,90,0,0,0,0,2,0,0.2,0.2,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,362,69,9,10,12,14,0,0,0.0,0.0,1,3,0,0,3,24,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,16,14,4,3,3,14,158,22,1,1,2,2,3,29,10,0,0,0,1,1,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,6.225
Marc Pugh,7.0,eng ENG,LM,30-132,45,0,0,0,0,0,0,0.0,0.0,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,338,71,8,10,11,11,1,2,0.0,0.0,1,1,1,0,1,23,23,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,17,8,1,1,0,10,76,18,1,0,0,1,1,24,7,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,5.93
Jordon Ibe,33.0,eng ENG,RM,21-247,45,0,0,0,0,1,0,0.0,0.0,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,375,71,10,11,12,15,1,4,0.0,0.0,0,4,1,1,3,30,29,1,1,0,0,4,0,0,2,2,2,2,0,0,0,0,0,2,0,2,4,15,20,1,2,0,25,284,83,3,4,1,0,2,31,4,0,0,0,0,2,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,5.705
Harry Arter,8.0,ie IRL,CM,27-227,90,0,0,0,0,1,0,0.0,0.0,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,2108,604,16,17,71,71,11,17,0.0,0.1,0,16,2,0,17,105,102,3,3,1,1,0,0,0,3,3,2,2,0,1,0,1,2,0,0,0,14,86,12,0,1,0,59,372,170,4,1,0,0,1,96,0,1,0,0,1,0,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,6.279999999999999
Andrew Surman,6.0,eng ENG,CM,30-357,90,0,0,0,0,1,0,0.0,0.0,3,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,1799,599,30,33,55,62,8,11,0.0,0.1,1,17,1,0,13,106,102,4,3,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,0,3,15,77,19,0,0,0,40,243,76,1,1,0,0,0,83,1,0,0,0,0,1,0,0,0,0,5,4,2,,,,,,,,,,,,,,,,6.38
Ryan Fraser,24.0,sct SCO,LM,23-169,90,0,0,0,0,2,1,0.1,0.1,4,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,737,190,15,16,22,27,4,7,0.1,0.1,2,2,1,0,8,50,45,5,4,0,0,6,0,1,1,1,1,1,0,2,0,2,0,0,0,0,4,17,38,3,0,0,29,158,20,1,0,0,1,2,47,17,0,0,0,0,2,0,0,0,0,4,0,0,,,,,,,,,,,,,,,,6.220000000000001
Charlie Daniels,11.0,eng ENG,LB,30-339,90,0,0,0,0,1,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,1161,332,27,31,29,33,6,12,0.0,0.0,0,9,0,0,9,76,70,6,1,0,0,1,5,0,2,1,2,2,0,0,0,0,0,2,0,3,23,34,26,1,0,0,29,226,76,1,2,1,1,0,58,9,0,0,0,0,1,0,0,0,0,6,0,1,,,,,,,,,,,,,,,,6.140000000000001
Nathan Aké,5.0,nl NED,CB,22-175,90,0,0,0,0,1,1,0.1,0.1,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,1127,593,9,9,40,43,5,9,0.0,0.0,0,1,0,0,3,61,61,0,0,0,0,1,0,0,4,4,2,2,0,0,0,0,1,3,0,8,44,24,2,1,0,0,24,133,55,0,0,0,0,0,45,1,0,0,0,0,1,0,0,0,0,9,4,0,,,,,,,,,,,,,,,,
Steve Cook,3.0,eng ENG,CB,26-115,90,0,0,0,0,0,0,0.0,0.0,1,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,1053,514,11,12,32,37,6,16,0.0,0.0,1,8,0,0,7,65,62,3,1,0,0,0,2,0,1,1,1,1,0,0,0,0,1,3,0,5,36,31,4,1,0,0,27,189,122,2,0,0,0,1,49,1,0,0,0,0,3,0,0,0,0,5,2,0,,,,,,,,,,,,,,,,6.265000000000001
Simon Francis,2.0,eng ENG,RB,32-177,79,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,935,205,14,17,36,40,2,12,0.0,0.0,0,2,1,1,3,70,61,9,2,0,0,9,7,0,2,0,0,0,0,0,0,0,1,5,0,3,24,34,26,0,2,2,28,183,66,1,0,0,2,2,55,11,0,0,0,0,1,0,0,0,0,3,4,2,,,,,,,,,,,,,,,,6.46
Adam Smith,15.0,eng ENG,RB,26-105,11,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,64,0,3,3,1,2,0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,0,0,3,13,4,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,6.01
Asmir Begović,27.0,ba BIH,GK,30-053,90,0,0,0,0,0,0,0.0,0.0,0,0,Bournemouth,0,1,False,False,West Bromwich Albion - Bournemouth,640,470,1,1,15,15,7,15,0.0,0.0,0,0,0,0,0,31,19,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,0,0,0,0,0,6,46,25,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,6.0,1.0,5.0,1.3,4.0,11.0,21.0,7.0,30.0,10.0,51.2,12.0,0.0,0.0,17.0,
